시도,시군구,치매센터유형,치매센터명,소재지도로명주소,주요치매관리프로그램소개,운영기관전화번호,위도,경도
충청남도,태안군,치매안심센터,태안군치매안심센터,충청남도 태안군 태안읍 서해로 1952-16,"치매환자 등록관리, 조호물품 지원, 치료관리비 지원,쉼터프로그램 운영, 조기검진, 치매예방 교육 등",041-671-5228,36.7518786,126.3231987
대구광역시,중구,치매안심센터,대구광역시중구치매안심센터,대구광역시 중구 태평로 45,"선별검사, 진단검사, 상담, 치매예방교육, 기억쉼터 운영 및 인지재활프로그램, 가족교실 운영, 맞춤형사례관리 등",053-661-3911,35.877906061,128.5833354604
경상남도,사천시,치매안심센터,사천시치매안심센터,경상남도 사천시 중앙로 212(벌리동),"치매조기검진 및 등록사업, 사례관리, 치매치료관리비 지원, 조호물품제공, 치매환자 쉼터 및 가족카페 운영, 치매인식개선 및 교육홍보, 치매어르신 실종예방 사업 등",055-831-5861,34.94435219,128.0811474
경상남도,창원시,치매안심센터,창원보건소 치매안심센터,경상남도 창원시 성산구 마디미로73번길 10,"치매인지재활, 치매가족모임",055-225-5794,35.21832577,128.6823024
경상남도,창원시,치매안심센터,진해보건소 치매안심센터,경상남도 창원시 진해구 중원동로 62,"치매인지재활, 치매가족모임",055-225-6692,35.149898,128.661939
경상북도,김천시,치매안심센터,김천시치매안심센터,경상북도 김천시 체육공원길 21,치매조기검진사업 및 치매치료관리비지원사업 등,054-421-2960,36.11973266,128.1445272
경기도,양주시,치매안심센터,양주시 치매안심센터,경기도 양주시 화합로1426번길 90,"치매조기검진, 치매예방프로그램, 치매환자 쉼터, 치매가족지원사업, 치매약제비 지원, 조호용품등 지원",031-8082-7147,37.83814235,127.0680351
경기도,양주시,치매안심센터,양주시 서부 치매안심센터(분소),경기도 양주시 광적면 부흥로 618번길 303,"치매조기검진, 치매예방프로그램, 치매환자 쉼터, 치매가족지원사업, 치매약제비 지원, 조호용품등 지원",031-8082-4388,37.81249969,126.9723072
서울특별시,성동구,치매안심센터,서울특별시 성동구 치매안심센터,서울특별시 성동구 왕십리로5길 3 (성수1가제2동 공공복합청사 5층),"치매검진, 치매예방등록관리, 지역사회자원 강화",02-499-8071,37.546403,127.0443496552
충청북도,충주시,치매안심센터,충주시치매안심센터,충청북도 충주시 사직산21길 34,"치매조기검진,맞춤형사례관리,치매환자쉼터운영,가족교실운영,치매예방프로그램운영",043-850-1780,36.97085167,127.9280135
경상북도,상주시,치매안심센터,상주시치매안심센터,경상북도 상주시 중앙로 111,무료치매검사,054-537-6514,36.41690111,128.1499972
대구광역시,북구,치매안심센터,대구북구치매안심센터,"대구광역시 북구 성북로49, 5층","치매조기검진, 치매치료관리비지원, 조호물품 제공, 치매예방프로그램, 가족지원 등",053-665-3135,35.8918696,128.588898
대전광역시,서구,치매안심센터,대전서구치매안심센터,대전광역시 서구 둔산서로100 + 건강체련관3층,치매환자인지재활프로그램+고위험군인지강화교실+치매예방교실+찾아가는경로당치매예방교실+치매예방교육+치매파트너및플러스사업+가족교실+가족자조모임+선별검사및진단검사+치매치료관리비지원+조호물품지원+배회가능어르신인식표제공+지문등사전등록+공공후견지원사업+사례관리,042-288-4470,36.35505672,127.3833597
경기도,포천시,치매안심센터,포천시치매안심센터,경기도 포천시 삼육사로 2186번길 11-15,치매검진+치매인지강화 프로그램,031-538-4831,37.85346198,127.1593101
경기도,포천시,치매안심센터,포천시치매안심센터 일동분소,경기도 포천시 일동면 소야길9,치매검진+치매인지강화 프로그램,031-538-4547,37.9558113614,127.315347
경기도,포천시,치매안심센터,포천시치매안심센터 영북분소,경기도 포천시 영북면 영북로166,치매검진+치매인지강화 프로그램,031-538-4806,38.0892943195,127.2756336535
부산광역시,금정구,치매안심센터,금정구 치매안심센터,부산광역시 금정구 중앙대로 1777,"치매조기검진, 치매예방프로그램, 치매환자 지원, 치매 인식 개선사업 등",051-519-5678,35.24205368,129.0924546
충청북도,청주시,광역치매센터,충청북도광역치매센터,"충청북도 청주시 서원구 1순환로 767, 지오빌딩 3층","치매인력전문화교육, 치매극복의날기념식, 치매극복걷기대회, 치매파트너운영, 치매특화사업개발, 치매연구조사 등",043-269-6891,36.625449,127.463825
충청북도,청주시,치매안심센터,충청북도 청주시 상당구 치매안심센터,충청북도 청주시 상당구 남일면 단재로 480,"치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-3100,36.588251,127.5059388388
충청북도,청주시,치매안심센터,충청북도 청주시 서원구 치매안심센터,"충청북도 청주시 서원구 구룡산로 235, 3층 (수곡동, 위너스빌)","치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-3200,36.616052,127.4713304921
충청북도,청주시,치매안심센터,충청북도 청주시 흥덕구 치매안심센터,"충청북도 청주시 흥덕구 비하로12번길 42, 1층~2층","치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-3300,36.6299036009,127.4267927994
충청북도,청주시,치매안심센터,충청북도 청주시 청원구 치매안심센터,충청북도 청주시 청원구 오창읍 과학산업3로 238,"치매조기검진, 치매치료관리비 및 검진비 지원, 치매예방교육,인지강화교실, 치매안심마을운영, 치매환자맞춤형 사례관리,치매공공후견인, 치매환자쉼터 및 가족지원사업,치매파트너 운영, 돌봄재활사업 등",043-201-3400,36.7104063494,127.4304713294
부산광역시,수영구,치매안심센터,부산광역시 수영구 치매안심센터,부산광역시 수영구 수영로 637-5(광안동),"치매조기검진, 치매예방프로그램, 치매환자 지원사업, 치매 인식개선 홍보 캠페인 등",051-752-4000,35.16247327,129.1134875
대전광역시,유성구,치매안심센터,대전광역시유성구치매안심센터,대전광역시 유성구 박산로 177 유성구보건소 2층,"치매조기검진, 치매환자 인지프로그램, 가족지원사업, 치매극복의 날 기념행사 등",042-611-5018,36.3538097,127.3286392
부산광역시,동래구,치매안심센터,부산광역시 동래구 치매안심센터,부산광역시 동래구 명륜로187번길 56,"치매상담 및 등록관리, 치매조기검진 및 예방관리, 치매환자쉼터 운영, 치매가족 지원, 치매인식개선 및 교육홍보 등",051-555-4000,35.211408,129.079856
전라북도,완주군,치매안심센터,완주군 치매안심센터,전라북도 완주군 삼례읍 삼봉8로 10-12,"치매환자관리사업, 치매상담",063-290-4380,35.9300447,127.1208616
전라북도,완주군,치매안심센터,완주군 치매안심센터,전라북도 완주군 삼례읍 삼봉8로 10-12,"치매환자관리사업, 치매상담",063-290-4380,35.9214549899,127.1219109175
부산광역시,연제구,치매안심센터,연제구치매안심센터,부산광역시 연제구 거제시장로22번길 70(거제동),"치매조기검진, 상담등록관리, 환자 및 가족 지원, 인식개선",051-665-5481,35.1840299,129.0730755
충청북도,괴산군,치매안심센터,괴산군치매안심센터,충청북도 괴산군 괴산읍 동진천길 43,"치매선별검사, 치매진단검사, 가족교실, 인지교실 등",043-830-2392,36.80799723,127.7966873
경기도,성남시,치매안심센터,수정구보건소 치매안심센터,경기도 성남시 수정구 수정로 218,상담및등록관리+치매조기검진+치매예방관리+치매환자쉼터운영+치매지원서비스+치매가족및보호자지원사업+치매인식개선및교육홍보+치매안심마을운영+치매공공후견사업,031-729-3879,37.4443116,127.1440597
경기도,하남시,치매안심센터,하남시 치매안심센터,경기도 하남시 미사강변대로 200,"치매상담 및 등록관리사업, 치매조기검진, 예방관리사업 등",031-790-6254,37.5676545,127.1858194
경기도,성남시,치매안심센터,중원구보건소 치매안심센터,경기도 성남시 중원구 금상로 137(상대원동),상담및등록관리+치매조기검진+치매예방관리+치매환자쉼터운영+치매지원서비스+치매가족및보호자지원사업+치매인식개선및교육홍보+치매안심마을운영+치매공공후견사업,031-739-3045,37.44215706,127.1705795
경기도,성남시,치매안심센터,분당구보건소 치매안심센터,경기도 성남시 분당구 내정로 94(정자동 한솔마을 711동 1층),무료치매검사+프로그램운영+치매예방관리등,031-729-8783,37.36738858,127.1155093
경기도,양평군,치매안심센터,양평군치매안심센터,경기도 양평군 양평읍 중앙로111번길 34-21,"치매예방관리사업,치매등록관리사업,치매지역사회기반강화",031-771-5773,37.49662351,127.505177
강원도,인제군,치매안심센터,인제군치매안심센터,강원도 인제군 인제읍 인제로140번길 34,"무료치매검사,경증치매환자단기쉼터운영, 인지재활프로그램, 정상군 치매예방교실,치매고위험군 인지강화교실, 치매인식개선, 기타 치매환자 조호물품, 치매치료관리지지원,실종예방사업",033-460-2523,38.06327706,128.1685854
울산광역시,남구,치매안심센터,울산광역시남구치매안심센터,울산광역시 남구 삼산중로 132,"상담 및 등록관리사업,조기검진사업,쉼터운영사업,가족지원사업,치매인식개선홍보사업",052-226-2323,35.54535759,129.3363268
부산광역시,영도구,치매안심센터,부산광역시영도구치매안심센터,부산광역시 영도구 태종로 423,"치매상담 및 정보 제공, 치매조기검진, 치매예방 및 인지강화교실 운영, 치매환자 단기보호쉼터 운영, 치매가족교실 및 힐링까페 운영, 치매치료관리비 지원, 치매환자 조호물품 지원, 치매인식개선사업 운영 등",051-419-4935,35.0912179,129.067935
대구광역시,서구,치매안심센터,서구치매안심센터,대구광역시 서구 북비산로 71길 7,"치매조기검진, 치매예방프로그램, 쉼터 인지재활프로그램, 치매가족교실 등",053-663-3811,35.88016031,128.5723999
강원도,태백시,치매안심센터,태백시치매안심센터,강원도 태백시 태백로 905,"환자쉼터,치매환자가족지지모임치매조기검진(선별,진단,감별검사)치매환자등록관리, 맞춤형사례관리,지원서비스(치료관리비, 조호물품제공),치매예방교실, 이동검진 및 교육치매파트너 양성 및 플러스 활동실종예방지원서비스(인식표,배회감지기,지문사진등록사업) 등",033-550-3042,37.176676,128.9924305
경상남도,밀양시,치매안심센터,밀양시치매안심센터,경상남도 밀양시 삼문중앙로 41,"맞춤형 인지재활 프로그램, 치매환자가족교실, 치매파트너 등",055-359-7086,35.48567011,128.7560608
서울특별시,중구,치매안심센터,중구치매안심센터,서울특별시 중구 청구로8길 22,치매선별검진+치매치료비지원+치매등록관리+치매가족모임+인지건강프로그램,02-2238-3400,37.56130448,127.013703
전라북도,정읍시,치매안심센터,정읍시치매안심센터,전라북도 정읍시 금붕1길 215(금붕동),"치매선별검사 및 진단검사, 치매예방 및 인지강화교실, 인식개선교육, 치매파트너양성, 치매치료관리비지원, 치매사례관리, 배회인식표발급, 치매가족프로그램 및 홍보, 캠페인실시, 치매공공후견인 사업",063-539-6951,35.5543973373,126.8936176
경상남도,진주시,치매안심센터,치매안심센터,경상남도 진주시 문산읍 월아산로 983,"치매선별 및 진단검사,치매안심센터 쉼터운영, 치매극복의 날 행사, 치매파트너, 파트너플러스, 치매안심마을 운영",055-749-5778,35.15910893,128.1636152
경기도,수원시,치매안심센터,장안구치매안심센터,경기도 수원시 장안구 송원로 101 (조원동),치매조기검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영 등,031-228-5953,37.30402833,127.0103129
경기도,수원시,치매안심센터,권선구치매안심센터,경기도 수원시 권선구 호매실로 22-50(탑동),치매조기검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영+치매인식개선 및 홍보 등,031-228-6964,37.25874424,126.9711281
경기도,수원시,치매안심센터,팔달구치매안심센터,경기도 수원시 팔달구 팔달산로 6(교동),치매조기검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영 등,031-228-7794,37.271433,127.0125194
경기도,수원시,치매안심센터,영통구치매안심센터,경기도 수원시 영통구 영통로 396 영통구보건소 5층,무료치매검진+치매치료관리비지원+인지프로그램운영+치매가족지지프로그램 운영+치매인식개선 및 홍보 등,031-228-8447,37.2568819,127.0697092
인천광역시,계양구,치매안심센터,계양구보건소 치매안심센터,인천광역시 계양구 계산새로 88,"치매 조기검진 및 등록, 치매환자지원사업, 치매예방 인지강화 프로그램, 치매인식개선사업, 치매공공후견사업",032-430-7867,37.53744173,126.7377592
인천광역시,계양구,치매안심센터,효성평생건강센터,인천광역시 계양구 봉오대로543번길 21,"치매 조기검진 및 등록, 치매환자지원사업, 치매예방 인지강화 프로그램, 치매인식개선사업",032-450-1838,37.532538,126.7086103
대구광역시,남구,치매안심센터,대구남구치매안심센터,대구광역시 남구 영선길 34,"치매조기검진사업, 치매환자 및 가족프로그램 운영, 치매예방교육 및 인식개선사업 등",053-664-3694,35.853883,128.5915237
대구광역시,동구,치매안심센터,동구보건소 치매안심센터,대구광역시 동구 동촌로 79,인지재활 및 가족지지 프로그램,053-662-3300,35.88812099,128.651234
대구광역시,달서구,치매안심센터,대구달서구치매안심센터,대구광역시 달서구 와룡로 106,"치매예방교실운영, 치매인지강화교실운영, 치매쉼터(인지재활교실)운영, 가족지원프로그램운영 및 자조모임운영, 치매극복의 날 기념행사 등",053-667-5601,35.84208791,128.5376272
광주광역시,남구,치매안심센터,광주광역시 남구 치매안심센터,광주광역시 남구 효우로 80,인지강화교실 및 쉼터 등,062-607-4361,35.10621299,126.9038012
강원도,양양군,치매안심센터,양양군 치매안심센터,강원도 양양군 양양읍 양양로 9-5,치매환자 등록관리/인지재활 프로그램/쉼터 프로그램,033-670-2937,38.07784528,128.6274871
경상북도,울진군,치매안심센터,울진군 치매안심센터,경상북도 울진군 울진읍 읍내8길 61-8,"치매치매조기검진 및 대상자 등록관리, 인지강화프로그램 및 치매가족프로그램 운영, 치매서포터즈 양성",054-789-5025,36.99621755,129.4045994
경기도,파주시,치매안심센터,파주시 치매안심센터,경기도 파주시 조리읍 봉천로 68(건강증진센터 3층),"치매조기검진사업, 치매인식개선 및 예방사업, 치매환자가족(헤아림)교육 및 지지프로그램 운영, 쉼터 운영사업,치매치료비지원사업, 치매파트너 모집, 치매환자 배회인식표제공, 지문등록, 치매안심공동체 운영, 사례관리,치매환자 인지재활 프로그램",031-940-3721,37.745044,126.8050097
전라남도,해남군,치매안심센터,해남군 치매안심센터,전라남도 해남군 해남읍 해남로 46,"치매조기검진, 사례관리, 치매환자 쉼터 및 가족지원, 치매예방 등 프로그램",061-531-3793,34.57046051,126.6120436
서울특별시,동대문구,치매안심센터,동대문구 치매안심센터,서울특별시 동대문구 홍릉로 81,"치매조기검진, 치매환자 등록관리, 치매환자 인지재활프로그램, 가족치유 프로그램, 기억키움학교 운영 등",02-957-3062,37.58751921,127.0427044
인천광역시,미추홀구,치매안심센터,미추홀돌봄의집,"인천광역시 미추홀구 경인로 34번길 20, 6-7층","회상요법, 미술치료, 음악치료 등 인지재활 프로그램",032-883-0310,37.46303119,126.6472839
인천광역시,미추홀구,치매안심센터,미추홀구치매안심센터,"인천광역시 미추홀구 경인로 34번길 20, 5층","치매조기검진, 치매치료관리비지원, 인지재활프로그램 운영, 치매가족교육, 치매관련교육, 조호물품 제공 등",032-728-6560,37.46303118,126.6472782
광주광역시,동구,광역치매센터,광주광역시광역치매센터,"광주광역시 동구 제봉로 27, 한일빌딩 4층","치매극복의날 기념행사, 한마음 치매극복 걷기행사, 치매예방교육 및 시민건강강좌, 치매관련종사자 교육 등",062-226-2181,35.1411286,126.9211291
경기도,군포시,치매안심센터,군포시치매안심센터,"경기도 군포시 군포로 522, 3층","치매예방프로그램, 치매환자 및 가족프로그램",031-389-4981,37.35258222,126.9456563
충청남도,보령시,치매안심센터,보령시치매안심센터,충청남도 보령시 대천로 119,"건강체조, 공예, 웃음치료, 노래교실, 요리 등",041-930-6871,36.35633335,126.6045349
경상남도,남해군,치매안심센터,보건소치매센타,경상남도 남해군 남해읍 선소로 6,치매환자 쉼터 운영 및 치매조기검진,055-860-8793,34.84474988,127.8987479
경기도,남양주시,치매안심센터,남양주보건소 치매안심센터,경기도 남양주시 와부읍 덕소로71번길 5,"치매조기검진,치매환자쉼터,치매가족지원,치매예방관리,치매인식개선",031-590-8700,37.58794943,127.211114
경기도,남양주시,치매안심센터,남양주풍양보건소 치매안심센터,경기도 남양주시 진접읍 금강로 1509-26,"치매조기검진,치매환자쉼터,치매가족지원,치매예방관리,치매인식개선",031-590-4771,37.726331,127.189819
전라남도,강진군,치매안심센터,강진군치매안심센터,전라남도 강진군 강진읍 목리길 11,두뇌튼튼 기억튼튼 쉼터교실,061-430-5950,34.63833623,126.7757100266
경상남도,합천군,치매안심센터,합천군 치매안심센터,경상남도 합천군 합천읍 동서로39,"치매조기검진, 치매진단검사, 치매치료관리비 지원, 치매환자 조호물품 제공, 치매환자 실종예방 사업, 치매환자 쉼터 운영, 치매환자 가족교실 운영",055-930-3730,35.56792811,128.1567534
강원도,강릉시,치매안심센터,강릉시치매안심센터,"강원도 강릉시 남부로17번길 38, 가동",등록관리+조기검진+예방관리+가족지원+인식개선 및 홍보,033-660-3081,37.74287093,128.8827493
서울특별시,구로구,치매안심센터,서울특별시 구로구 치매안심센터,"서울특별시 구로구 디지털로 243, 2층 (지-하이시티 빌딩)",정상 고위험 치매 프로그램 및 인지프로그램 운영 등,02-2612-7041,37.48199097,126.892351
대전광역시,동구,치매안심센터,동구 치매안심센터,대전광역시 동구 현암로 22 (삼성동),"치매 조기검진, 치매환자 쉼터 프로그램, 치매예방 및 인지강화 프로그램, 환자가족 상담 및 힐링프로그램 등",042-621-6011,36.34298696,127.4204617
서울특별시,강서구,치매안심센터,강서구치매안심센터,"서울특별시 강서구 화곡로 371, 경향교회선교관 3층","무료치매검진 및 진단, 치매예방교육, 치매예방인지재활프로그램, 치매가족지지 프로그램 등",02-3663-0943,37.556963,126.852184
서울특별시,강남구,치매안심센터,강남구치매안심센터,서울특별시 강남구 선릉로108길 27,치매조기선별검진 및 정밀검진+인지건강프로그램 및 쉼터 운영 등,02-3410-2114,37.5103117,127.0463776
경상남도,거제시,치매안심센터,거제시 치매안심센터,경상남도 거제시 거제중앙로 13길 25,치매환자 등록 및 관리/ 치매조기검진 / 치매예방교육 및 인식개선/ 치매가족교육 및 자조모임/쉼터프로그램운영,055-639-6226,34.88218472,128.6236992
경기도,이천시,치매안심센터,이천시 치매안심센터,경기도 이천시 증신로153번길 13,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,031-644-4007,37.2889554,127.4523668
경기도,이천시,치매안심센터,남부치매안심센터,경기도 이천시 장호원읍 서동대로8809번길 30-15,치매조기검진사업+치매치료관리비지원사업+치매쉼터프로그램운영+치매환자가족(헤아림) 교육 및 자조모임운영+치매예방 홍보 교육 및 캠페인+치매파트너 모집+치매관련 정보제공+치매환자 배회인식표 제공+자원연계,031-645-3461,37.11672581,127.6148957
강원도,춘천시,치매안심센터,춘천시 치매안심센터,강원도 춘천시 스무숲길 4-46,"치매검진(조기검진 무료, 정밀검진비 지원), 치매환자 치료비(약제비) 지원,  조호물품(기저귀,물티슈)지원, 인식표 제공, 배회감지기 지원, 치매환자 단기쉼터 운영, 치매환자 및 가족 지원, 상담 및 교육, 인지강화프로그램, 치매예방프로그램, 치매 극복의날 행사, 인식개선 및 홍보 등",033-250-4004,37.846002,127.746997
경상남도,통영시,치매안심센터,통영시 치매센터,경상남도 통영시 안개4길 102(무전동),"조기치매검진, 치매환자상담및등록관리, 고위험군집중검진및등록관리, 파트너선도단체양성, 인식개선및홍보, 사례관리운영, 인지강화교실운영, 쉼터운영, 기족교실운영, 치매환자실종예방, 관리비지원, 정밀진단비지원",055-650-6100,34.85979047,128.4323385
경상남도,창녕군,치매안심센터,창녕군 치매안심센터,경상남도 창녕군 창녕읍 우포2로 1189-35,치매환자 등록 및 관리/ 치매조기검진 / 치매예방교육 및 인식개선/ 치매가족교육 및 자조모임/쉼터프로그램운영,055-530-6243,35.543618,128.4900551
광주광역시,북구,치매안심센터,광주광역시북구치매안심센터,광주광역시 북구 북문대로 234(동림동),"무료치매검사,치매치료비지원,인식표배부 등",062-410-6598,35.18696192,126.8668762
경상남도,고성군,치매안심센터,고성군치매안심센터,경상남도 고성군 고성읍 중앙로 35,"치매조기검진, 위치주적기 및 인식표 지원, 재활프로그램운영, 치매 인식개선 교육 홍보 등",055-670-4075,34.97451724,128.3244477
부산광역시,사하구,치매안심센터,사하구 치매안심센터(본소),부산광역시 사하구 까치고개로 50-10,"치매조기검진, 치료관리비 지원, 치매 인식 개선을 위한 홍보 캠페인 등",051-220-5987,35.10448346,129.006333
부산광역시,사하구,치매안심센터,사하구 치매안심센터(분소),부산광역시 사하구 하신중앙로 185,"치매조기검진, 치료관리비 지원, 치매 인식 개선을 위한 홍보 캠페인 등",051-220-0074,35.09496298,128.9615461
서울특별시,중랑구,치매안심센터,서울특별시 중랑구치매안심센터,서울특별시 중랑구 동일로 608 화성빌딩 2~3층,"치매조기검진, 치매예방등록관리, 지역사회자원강화",02-435-7540,37.58464368,127.0801244
서울특별시,금천구,치매안심센터,금천구치매안심센터,"서울특별시 금천구 시흥대로 123길 11(독산1동 주민센터) 6층, 7층","예방 및 인식개선 사업, 조기검진 사업,등록관리사업,치매치료관리비 지원사업, 지역사회 자원 강화사업",02-3281-9082,37.47021905,126.8970437
전라남도,신안군,치매안심센터,신안군치매안심센터,전라남도 신안군 압해읍 천사로 1004,"치매조기검진사업,치매환자관리,치매예방교육,쉼터운영및가족카페,인식개선등",061-240-8081,34.83360218,126.3514253
인천광역시,남동구,치매안심센터,남동구보건소치매안심센터,인천광역시 남동구 소래로 633,"치매예방교육, 인지강화 프로그램, 쉼터 프로그램, 찾아가는 치매예방교육 및 선별검사",032-453-5913,37.4473902,126.7306784
경기도,동두천시,치매안심센터,동두천시치매안심센터,경기도 동두천시 중앙로 167,"치매조기검사(선별검사,진단검사,감별검사),치매예방교육,인지강화프로그램, 치매환자및가족지원프로그램 등",031-860-3395,37.89661147,127.051717
경상남도,의령군,치매안심센터,의령군치매안심센터,경상남도 의령군 의령읍 의병로8길 16-1,"치매환자쉼터, 치매예방교실, 맞춤형 사례관리",055-570-4072,35.31740278,128.2554461
부산광역시,북구,치매안심센터,북구 치매상담센터,부산광역시 북구 금곡대로 348,"치매조기검진, 치매치료비지원, 인지재활프로그램 및 가족교육 등",051-309-7032,35.239295,129.014415
인천광역시,옹진군,치매안심센터,옹진군치매안심센터,인천광역시 옹진군 백령면 백령로 833번길 26-29,"쉼터, 치매예방, 인지강화교실",032-899-3670,37.95793845,124.6647433
전라남도,영암군,치매안심센터,영암군치매안심센터,전라남도 영암군 영암읍오리정길39,"치매환자 쉼터, 치매예방교실인지강화교실",061-470-6030,34.79533941,126.7033414
경상북도,예천군,치매안심센터,예천군치매안심센터,경상북도 예천군 예천읍 군청길 33,"치매조기검진, 치매등록,치매환자쉼터, 인지강화교실, 치매예방교실, 치매예방교육, 치매서포터즈 및 치매극복선도단체 양성, 치매보듬마을 운영, 우리마을예쁜치매쉼터운영, 치매환자사례관리, 치매환자가족교실,자조모임운영,치매치료관리비지원, 조호물품제공, 배회인식표 및 지문인기 등록, 치매극복 전국걷기행사, 치매극복의날 기념 행사,치매관사업 DB자료 등록 및 분석",054-650-8100,36.65769827,128.4529801
울산광역시,동구,치매안심센터,울산광역시 동구보건소 치매안심센터,울산광역시 동구 봉수로 155,"쉼터 운영,인지강화 및 인지재활 프로그램,힐링프로그램,자조모임",052-209-4060,35.505086,129.4164300357
강원도,원주시,치매안심센터,원주시치매안심센터,강원도 원주시 지니기길 11-20,치매조기검사,033-737-4541,37.32470828,127.924847
인천광역시,연수구,치매안심센터,연수구치매안심센터,인천광역시 연수구 예술로20번길 15,"무료치매검진, 등록관리, 교육홍보,인지개선프로그램, 가정방문(사례관리), 치매치료비 지원 등",032-749-8966,37.4357471,126.699593
전라남도,장흥군,치매안심센터,장흥군보건소 치매안심센터,전라남도 장흥군 장흥읍 동교1길 13,"치매예방 및 인식개선(교육, 홍보, 선도기관, 파트너양성)치매조기검진(선별, 진단,정밀)치매예방등록사업(상담 및 사례관리, 환자 및 가족 지원, 인지강화 프로그램, 에방교실), 치매안심마을 운영, 치매쉼터, 치매실종예방사업, 치매치료비 지원, 치매조호물품지원,치매지역사회 지원강화, 치매통합관리 정보시스템 구축 운영",061-860-6498,34.6770039,126.907038
광주광역시,서구,치매안심센터,서구 치매안심센터,광주광역시 서구 운천로172번길 32(쌍촌동),"치매조기검진, 치료관리비 지원, 실종예방 인식표 보급, 치매 인식 개선 홍보 캠페인 등",062-350-4759,35.1481692,126.8601743
경상북도,경주시,광역치매센터,경상북도 광역치매센터,경상북도 경주시 동대로 87 동국대학교경주병원 5층,치매관리사업기획교육사업진단 및 조호인프라 구축연구 및 지역특화사업대국민인식개선사업,054-777-6400,35.85850364,129.1928772
경상북도,군위군,치매안심센터,군위군치매안심센터,경상북도 군위군 군위읍 군청로 70,"조기검진, 상담및등록, 조호물품제공, 치매환자쉼터 운영 등",054-851-6000,36.2296599815,128.5699045819
충청남도,당진시,치매안심센터,당진시치매안심센터,충청남도 당진시 서부로 56,"치매조기검진, 사랑채, 쉼터, 권역별쉼터, 고대안심마을, 가족지원, 치매인식개선, 치매파트너",041-360-6075,36.88735969,126.6304725
충청북도,제천시,치매안심센터,제천시치매안심센터,충청북도 제천시 의림대로 242,"무료치매조기검진, 치매예방 및 인지재활 프로그램, 치매환자지원(치료비, 조호물품 등) 및 치매파트너 양성 등",043-641-3058,37.1493417043,128.2160864969
부산광역시,부산진구,치매안심센터,부산진구치매안심센터,부산광역시 부산진구 새싹로253,"치매조기검진, 치매대상자 등록관리, 치매치료관리비지원, 치매인식개선 및 홍보 등",051-605-6107,35.178777,129.0475494
전라북도,전주시,광역치매센터,전라북도광역치매센터,전라북도 전주시 덕진구 견훤로 393 2층,"치매관리사업 계획 및 치매연구치매안심센터 및 노인복지시설 기술지원치매관련 종사인력에 대한 교육, 훈련 치매환자 및 가족에 대한 치매의 예방 교육 및 홍보 등",063-247-6082,35.846046,127.152587
전라남도,곡성군,치매안심센터,곡성군치매안심센터,전라남도 곡성군 곡성읍 곡성로854,"등록관리, 쉼터,예방 등",061-360-8981,35.2788671618,127.2969045762
부산광역시,남구,치매안심센터,부산광역시남구 치매안심센터,부산광역시 남구 수영로 155(대연동),"인지재활프로그램, 고위험군 인지강화교실, 치매예방교실 등",051-607-3771,35.13495561,129.0835533
전라남도,고흥군,치매안심센터,고흥군 치매안심센터,전라남도 고흥군 고흥읍 등암3길 5,치매검진 및 예방 교육 가족교실 및 인지강화교실 운영,061-830-6638,34.5919855,127.2692469
부산광역시,동구,치매안심센터,부산광역시 동구보건소 치매안심센터,부산광역시 동구 구청로 14,"치매조기검진, 쉼터, 인지재활프로그램, 가족지원사업 등",051-440-6443,35.12832585,129.0450622
강원도,고성군,치매안심센터,고성군치매안심센터,강원도 고성군 간성읍 수성로 30,"치매조기검진사업, 쉼터, 가족지지, 인지재활 등",033-680-3798,38.37761662,128.4721409
전라남도,목포시,치매안심센터,목포시 치매안심센터,전라남도 목포시 수문로32,"치매선별검사,치매인지재활프로그램, 치매환자등록관리",061-270-4271,34.79313246,126.3829319
